object_id,message,created_time,updated_time,from.name
1790811841175656_371837478379361,📣📣📣「第四屆臺灣研究世界大會」將於今日6月27日至29日（臺灣時間6月28日凌晨0時-30日凌晨3時45分）於美國西雅圖華盛頓大學盛大舉行。本屆世界大會由美國華盛頓大學臺灣研究計畫及本院共同主辦，將於 YouTube 和UW Facebook 同步直播，歡迎大家在線上共同參與本場盛會。🥳🥳🥳,2022-06-27T03:57:00+0000,2022-06-27T03:57:45+0000,"中央研究院社會學研究所Institute of Sociology,Academia Sinica"
1790811841175656_365200019043107,"🎉🎉🎉「2022中央研究院社會學量化研究工作坊」即將召開，本屆工作坊邀請國內外學者擔任講師，歡迎有興趣的你，手刀報名參加！💪​ ​ ▶️日　　期：2022年7/6-7、7/13-14、7/20-21、7/28​ ▶️地　　點：線上參與​ ▶️課程大綱：https://reurl.cc/NAgvWe​ ▶️報名日期：即日起至2022年6月30日（四），額滿提前截止。​ ▶️報名對象：60名，若有報名成功，將以email通知。​ ▶️報名方式：https://forms.gle/ihYRaPJquyY3FcWEA ▶️活動網址：https://www.ios.sinica.edu.tw/msgNo/20220706-1​ ▶️主辦單位：中央研究院社會學研究所​ ▶️聯 絡 人：中研院社會所 高小姐​ ☎️Tel：(02)2652-5089​ 💻E-mail：huilingkao@gate.sinica.edu.tw​ ​ ​ 🤩🤩本屆工作坊課程安排如下，可針對有興趣之課程進行報名：​ ​ 🎯Meta-Analysis​ 杜裕康（台灣大學流行病學與預防醫學研究所所長）​ 7月6日－7日（13：30－17：00）​ ​ 🎯Topic Modeling​ 何俊霆（中央研究院人文社會科學研究中心博士後研究員）​ 7月13日－14日（13：30－17：00）​ ​ 🎯Causal Mediation Analysis & Regression Discontinuity​ Krisztián Pósch (Lecturer, Department of Security and Crime Science, University College London)​ 7月20日－21日（12：00－17：00）​ ​ 🎯Visualizing Sociological Theory​ Daniel Silver (Professor, Department of Sociology, University of Toronto)​ 7月28日（21：00－23：00）​ ​  📣注意事項👀​ 1️⃣工作坊線上上課授課網址與相關事項，將於活動前夕寄信給成功報名者。​ 2️⃣課程中主要使用Ｒ軟體進行操作，建議對Ｒ要有一定熟悉程度。​ 3️⃣課程時間若有異動，請以活動通知信件之內容為主。",2022-06-17T08:04:01+0000,2022-06-22T02:35:41+0000,"中央研究院社會學研究所Institute of Sociology,Academia Sinica"
1790811841175656_350574950505614,"📣📣📣「第四屆臺灣研究世界大會」即日起開放線上參與的報名，歡迎有興趣的朋友踴躍報名參加。​ ​ 🕵️本屆臺灣研究世界大會將於6月27日-29日於美國西雅圖華盛頓大學盛大舉行。本屆大會由美國華盛頓大學臺灣研究計畫及中央研究院共同主辦，將於 YouTube 和 Facebook 同步直播。相關資訊如下：​ ​ ▶️大會時間：2022年6月27日-29日（週一～週三）​ ▶️大會舉辦方式：實體及線上直播(YouTube和UW Facebook) *臺灣時間：+15小時​ ▶️大會地點：美國西雅圖華盛頓大學​ ▶️大會主題：Taiwan in the Making​ ▶️主辦單位：美國華盛頓大學臺灣研究計畫、臺灣中央研究院​ ▶️大會網址：https://wcts.sinica.edu.tw/wctsIV/index.html ▶️大會議程：https://wcts.sinica.edu.tw/wctsIV/ProgramAbstracts/4th_WCTS_Program.pdf ▶️報名網址：https://wcts.sinica.edu.tw/wctsIV/zOnlineAudienceRegistration.html ▶️YouTube直播連結：https://wcts.sinica.edu.tw/wctsIV/ProgramAbstracts/4th_WCTS_Program.pdf ​▶️Facebook直播連結：https://www.facebook.com/UWTaiwanStudies/ ​ ​ 📜本屆大會主題為Taiwan in the Making，相關議題包括：​ - “Worlding” Taiwan: Taiwan in Global Context​ - Contested Sovereignty: Taiwan in Comparison​ - New Directions in Taiwan Studies​ - Consolidating Taiwan's Democracy​ - Gender and Society in a Changing Taiwan​ - Environment, Ecology, and the Future of Taiwan​ - Ethnic Identity and Diversity in Taiwan​ - Taiwan History through Primary Sources​ ​ 📰2022年「第四屆臺灣研究世界大會」將為本會第一次移至北美地區舉辦，與美國華盛頓大學共同主辦，將有來自世界各地超過80位在「臺灣研究」表現傑出的學者一齊參與，分享研究成果，開拓「臺灣研究」新局面。​ ​ 📰在此謹代表大會籌備委員會誠摯地邀請您共襄盛舉。有您的支持和參與，相信此次大會將更加豐富圓滿。​ ​ 😊籌備委員會主席​ 黃進興 中央研究院副院長​ ​ 😊籌備委員會秘書長​ 蕭新煌 中央研究院社會學研究所兼任研究員​ ​ 😊籌備委員會共同秘書長​ 陳志柔 中央研究院社會學研究所專任研究員兼所長",2022-05-26T07:56:09+0000,2022-06-27T03:58:27+0000,"中央研究院社會學研究所Institute of Sociology,Academia Sinica"
1790811841175656_349886170574492,"📣📣📣本所「台灣政治經濟學」與「中國效應」主題研究小組，將於6月1日（三）舉辦專題演講。相關訊息如下，歡迎有興趣的朋友踴躍報名參加：​ ​ ▶️主題：Argentina: From Washington Consensus to Beijing Consensus?​ ▶️講者：Dr. Jorge Troisi Melean（Professor of History in Universidad Nacional de la Plata, Argentina）​ ▶️主持：謝斐宇（中央研究院社會學研究所副研究員）​ ▶️時間：6月1日（三），14:00-16:00​ ▶️地點：本所9樓904會議室及線上 ▶️報名：https://forms.gle/tEdyB1FGNKXnWEAT9 ▶️主辦：本所「台灣政治經濟學」與「中國效應」主題小組舉辦​ ▶️活動聯絡：邱先生，mfhasst @gate.sinica.edu.tw​ ​ ​ ​🎯活動說明及防疫事項🧐 1️⃣本場次演講規劃現場與Webex線上會議參與形式，活動前，我們將會寄送線上參與連結予報名者。​ 2️⃣與會前兩週內如曾有呼吸道症狀或發燒者，請避免參加活動。​ 3️⃣來賓請自備口罩，並於活動進行時，務必全程配戴口罩。",2022-05-25T07:08:18+0000,2022-05-25T09:58:18+0000,"中央研究院社會學研究所Institute of Sociology,Academia Sinica"
1790811841175656_349808143915628,🎉🎉本所「農村社會創新之在地實踐經驗分享」系列講座，6月份場次即將召開，歡迎有興趣的朋友報名參加🎉🎉​ ​ ▶️主題：農村社會創新之在地實踐經驗分享：部落人照顧部落人—談「部落共同廚房」​ ▶️講者：林建治（社團法人原住民深耕德瑪汶協會執行秘書）​ ▶️主持：鍾怡婷（中研院社會所博士後研究）​ ▶️時間：6月21日（二），14:00-17:00​ ▶️地點：本所9樓901會議室及線上​ ▶️報名：https://forms.gle/mdpcd4XNVWvSkh2s7​ ▶️活動聯絡：邱先生，houwensso@gate.sinica.edu.tw​ ​ 林建治是「社團法人原住民深耕德瑪汶協會」的執行秘書。原本在台北求學、工作的他，在1999年時因921地震而返回災情嚴重的家鄉台中縣和平鄉。為了重建受創的部落災區，他集結大安溪流域共十三個部落的力量，以泰雅族語「深耕」之意的「德瑪汶」為名，成立了原住民深耕德瑪汶協會。​ ​ 從長者送餐、兒少照顧和醫療接送，到共同廚房、多元產業和活動市集擺攤，始於賑災的德瑪汶協會持續服務部落，至今已超過二十年。他們始終堅持深耕原則，不以商業為目的，不為生計、效率而破壞土地，既體現有機食農的理念，亦發揚了與土地共存的傳統文化精神。​ ​ 🎯活動說明及注意事項🧐​ 1️⃣講座採現場及線上同時進行，請於報名時勾選參與方式，線上參與者於6月17日將提供線上連結予報名者。​ 2️⃣與會前兩週內如曾有呼吸道症狀或發燒者，請避免參加活動。​ 3️⃣活動進行時，請務必全程配戴口罩。（來賓請自備口罩）,2022-05-25T04:02:29+0000,2022-05-25T07:00:02+0000,"中央研究院社會學研究所Institute of Sociology,Academia Sinica"
1790811841175656_3137099726529180,數百年來，台灣的命運一直被帝國之間的權力角逐深刻影響。從抵抗帝國影響力的視角來看，台灣、香港、烏克蘭面對相似的歷史境遇。2014年，三地皆爆發大規模的佔領運動。2013年11月烏克蘭人民反對政府無視主權危機，背棄入歐承諾，反而選擇親近俄羅斯威權政府，而掀起廣場革命，導致亞努科維奇在2014年2月下台。台灣的太陽花運動則擱置國民黨政府與中國的服貿協議，國共合作平台中斷，凸顯台灣抵抗民主倒退、爭取獨立自主的公民力量。香港雨傘運動起因於要求特首普選的佔中運動，而在雨傘運動之後掀起本土主義與政治自決運動的潮流，而在2019年的反送中運動中更凸顯了香港民主運動的抗爭力度。​ ​ 烏克蘭與香港的抵抗運動尚未贏得穩定的自由民主體制，卻已迎來帝國擴張的入侵與威脅。廣場運動之後，2014年3月俄羅斯兼併烏克蘭的克里米亞；2022年2月，俄羅斯總統普丁否定烏克蘭民族的存在，出兵入侵烏克蘭，侵犯其國家主權。2019年，港警強力鎮壓香港反送中運動，中國於2020年制定「港版國安法」，全面壓制香港的民主運動和公民社會追求自決獨立的聲音，並切斷香港公民團體與國際的聯繫。同樣遭受中國威脅的台灣，被認為是下一個衝突的爆發點。中國政府長期協同軍事、外交、經濟、銳實力操作等手段，意圖兼併台灣領土，猶如俄羅斯併吞烏克蘭的部署。​ ​ 台灣、香港、烏克蘭三個處在帝國夾縫中的弱小民族（社會），除了面對外部威脅，社會內部的政治認同分歧，也形成民主體制運作的挑戰。然而，即便受制於分歧的認同，烏克蘭與香港人民仍展現出堅強的抵抗意志，讓帝國侵略者付出代價。烏克蘭周旋在俄羅斯與歐洲／北約之間，如今遭遇俄羅斯武力入侵；香港在中國主權管轄下血淚爭取民主與自主；處在美中對抗之下的台灣，香港與烏克蘭經驗帶來哪些啟示？本次研討會將比較台灣、香港與烏克蘭的歷史經驗，分析三地處於帝國夾縫中的地緣政治處境，以及分別遭遇的民主挑戰，與面對帝國侵略的抵抗韌性。​ ​ ​ ▱研討會資訊​ ◐ 名稱：台灣、香港、烏克蘭——帝國夾縫、民主挑戰與抵抗韌性​ ◐ 時間：2022.05.20（五）13:00-17:30​ ◐ 地點：中央研究院社會學研究所802會議室​（台北市南港區研究院路二段128號中研院人文館南棟8樓）  ◐ 主辦單位：中央研究院社會學研究所、社團法人經濟民主連合​ ◐中研院社會所網頁：https://reurl.cc/ErXoq1  活動議程： 13:00-13:30｜報到  13:30-13:50｜開幕致詞                         ⊛陳志柔（中研院社會學研究所所長）                         ⊛林秀幸（經濟民主連合會長）  13:50-15:30｜場次一：帝國夾縫與地緣政治                         ⊛汪宏倫（中央研究院社會學研究所副所長）                         ⊛吳介民（中央研究院社會學研究所研究員）                         ⊛賴怡忠（台灣智庫諮詢委員）                         ⊛宋承恩（經濟民主連合智庫主權外交國防組召集人）  15:30-15:50｜茶敘  15:50-17:30｜場次二：民主挑戰與抵抗韌性                         ⊛陳祖為（中央研究院人文社會科學中心訪問學人）                         ⊛吳叡人（中央研究院台史所副研究員）                         ⊛徐裕軒（外貿協會基輔台灣貿易中心主任）                         ⊛賴中強（經濟民主連合智庫召集人）  ◈活動注意事項： 因應防疫措施與會前兩週內如曾有呼吸道症狀或發燒者，請避免參加活動。 室內如無法保持 1.5 公尺之社交距離，請全程配戴口罩。（來賓請先自備口罩） 進入會議室前，請先以酒精消毒手部。 會議室內請勿飲食。  若有任何問題，煩請與我們聯繫。您可私訊經民連FB粉專，或洽詢聯絡人。  ▱聯絡資訊： 經濟民主連合Facebook｜https://www.facebook.com/eduniontaiwan 盧嘉安｜naomi@edunion.org.tw 江旻諺｜cis@gate.sinica.edu.tw,2022-05-20T05:16:09+0000,2022-05-20T09:31:26+0000,"中央研究院社會學研究所Institute of Sociology,Academia Sinica"
1790811841175656_345820044314438,📜歡迎填寫並轉發「民眾對環境聲音感受的健康影響問卷調查」📜​ ​ 📇本計畫由中央研究院社會所與永續計畫合作，補助關於民眾對環境聲音感受的健康影響調查，我們透過Line平台問卷進行民眾生活中聲音暴露與感受資料的蒐集，並評估對身心健康的影響，邀請您一同加入。​ ​ 您的參與，將有助於描繪紀錄環境聲音及感受，並為永續社會健康影響評估貢獻了一分心力💪💪💪。​ ​ ➤怎麼參加👉​ 年滿20歲的成年人都可加入，​ 一起來{聲感地圖現行錄}Line好友參與調查​ https://line.me/R/ti/p/@681uelnm​ ​ ➤調查時間​ 2022年5月16日至7月15日​ ​ ➤填答獎勵🎁🎉​  ​ ​ 前300位完成填答任務者，可獲得超商電子商品卡400元。​  ​ ​ 所有參與完成任務者，還另有積分抽獎喔！​ ​ ➤詳細說明💖💖​  ​ ​ ​ 計畫官網 : https://as.geohealth.tw/soundmap​ ​ ➤計畫聯絡人📞​ 中央研究院人文社會科學研究中心 詹大千研究員​ （02-2789-8160，tachien@gate.sinica.edu.tw）​ ​ ➤聯絡人📞​  ​ 李小姐 (asrchss10902@gmail.com)​ ​ ​ #城市聲景​ #參與式感測​ #城市感測,2022-05-19T05:41:43+0000,2022-05-20T03:03:53+0000,"中央研究院社會學研究所Institute of Sociology,Academia Sinica"
1790811841175656_345171964379246,📣📣📣【辦理方式公告】原訂「台灣、香港、烏克蘭——帝國夾縫、民主挑戰與抵抗韌性」研討會活動採「現場參與」形式辦理，惟因疫情之故除「現場參與」形式外，另新增「本臉書直播」的參與方式。歡迎有興趣的朋友，在本週五（5/20）下午1：30準時線上收看。,2022-05-18T05:58:32+0000,2022-05-18T06:08:27+0000,"中央研究院社會學研究所Institute of Sociology,Academia Sinica"
1790811841175656_343905307839245,🎉本所「南臺灣主題研究小組」6月份講座來囉！​🎉 🥳歡迎有興趣的朋友踴躍報名參加！​💪 ​ ▶️講題：必要但可丟棄？長照體制、移工政策與家庭看護移工的日常矛盾​ ▶️講者：梁莉芳（國立東華大學社會學系副教授）​ ▶️主持：吳齊殷（中央研究院社會學研究所研究員）​ ▶️時間：2022年6月17日（五）12：30-14：30​ ▶️報名：https://forms.gle/kHasuEmLrLEp8dqB6 ▶️地點：中研院社會所802會議室（人文社會科學館南棟8樓）​ ▶️活動聯絡：張小姐 ios.trtost@gmail.com​ ​ ​ 📜演講簡介📜​ 新冠肺炎疫情期間，維持人們生活基本需求和福祉的「必要工作」(essential work)之重要性被凸顯，包括照顧工作。不過，這類工作的社會價值往往無法反映在工作者的勞動條件、相關福利以及物質性的報酬。​ 本次的演講根植於我在宜蘭和花蓮的田野，描繪偏鄉家庭的照顧安排與實作，以及在長照資源不均的脈絡下，看護移工如何成為（又如何是）家庭照顧核心的行動者？她們如何和所照顧的長者與其家人在日常中進行照顧協作？疫情間，「防疫優先」與保護長者脆弱性的論述，如何透過政策、雇主管理和自我規訓，限制家庭移工的流動性？她們又如何進行協商？藉由檢視台灣的遷移體制、長照制度與服務的發展，以及家庭看護移工的日常經驗，我嘗試指出必要性工作的矛盾性。在「照顧危機」的脈絡下，在象徵意義上家庭看護移工被視為是不可或缺的；另一方面，制度設計、法律保障以及日常的勞動處境卻揭露他們卻未獲得同等的重視和價值回報。最後，持續的疫情（long COVID）提醒我們「照顧」做為社會關係連結的重要基礎。​ ​ 👩‍🏫講者簡介📖 受到女性主義學術傳統的影響，我的研究興趣為高度性別化的隱形工作，特別聚焦於跨國遷移脈絡下的照顧工作。「什麼是照顧？」的探問，讓我的研究視角從照顧實作與照顧關係出發，進而檢視照顧的社會編派，以及遷移體制與照顧體制的交互作用對個人具象化經驗之形塑。延續「什麼是照顧」的探問，我目前的研究闡述家庭看護移工和母國家人如何跨國做照顧，指出他們的經驗如何（再）概念化照顧以及揭露全球化下的照顧不平等。研究作為倡議的媒介之一，我主張照顧/關懷倫理作為另一種認識論的可能。​ ​ 🧐活動說明及注意事項👀​ 1️⃣本場次演講規劃現場與線上會議參與形式，活動前夕，將線上會議連結寄予報名者。​ 2️⃣與會前兩週內如曾有呼吸道症狀或發燒者，請避免參加活動。​ 3️⃣來賓請自備口罩，並於活動進行時，務必全程配戴口罩。​ 4️⃣進入會議室前，請先以酒精消毒手部。,2022-05-16T06:09:00+0000,2022-05-17T04:08:18+0000,"中央研究院社會學研究所Institute of Sociology,Academia Sinica"
1790811841175656_738503517512220,"此次演講將從本人於1981年8月進入中研院談起。主要內容以這四十年來所參與的主要研究計劃及其重要成果，分為三個時期作一簡短回顧。  I.1981-1997初入中研院的第一階段 研究議題包括國民住宅、子女照顧、夫妻權力與婚姻調適， 也啟動社會意向面訪調查、雛妓問題、私立大專院校轉型、 以及後來延伸至跨華人社會比較研究的臺灣婦女家庭地位課題。  II.1997-2007 社會學研究所初創時期 研究議題有接續前述研究拓展而來的華人社會婦女家庭地位以及 台北市色情產業與性交易政策；亦有新興的子女價值觀之國際比較研究， 並參與社會所推動的臺灣青少年成長歷程研究。  III.2007-2021 人文館南棟的社會學研究所時期 主要課題為持續推動長期追蹤研究的臺灣青少年成長歷程─從青少年階段至成人初期，亦啟動臺灣基督信仰調查並積極參與國內外的家庭相關研究。  回顧四十年來的研究歷程，大致有四個特色：調查訪問為主、深入訪談為輔；多為長期性研究規劃；以研究小組推動；學術機構、政府、民間學術單位支持皆有。研究主軸則環繞在家庭制度以及家庭運作的持續與改變。針對上述研究成果，將從家庭研究角度切入，試圖提出不同研究發現的重要學術意涵。此外,也將簡短分享在國際學術參與和專業服務方面的心得與反思，或許能提供年輕世代參考。",2022-05-06T06:15:09+0000,2022-05-06T08:08:14+0000,"中央研究院社會學研究所Institute of Sociology,Academia Sinica"
